TOT_POP,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
17335,1996,2009,1988,1990,2482,2506,1340,781,8193,50,10,17335,2208,5555,2999,3513,7738,7324,414,6.365545989,0,17944,4298,13480,7832,5689,1593,2560,569,1342
27847,3302,3193,3356,3467,3932,3479,2322,1159,24902,90,5,27847,3637,7770,5261,4957,11981,11418,563,10.22563364,0,27889,6460,21503,12028,8644,2649,3255,796,2136
32358,3427,3385,3378,3712,4686,4711,3519,1688,28991,159,15,32358,3272,11010,5078,5982,14231,13636,595,11.88210771,6,32263,9544,25720,12813,9362,3272,4114,1022,2820
25063,2764,3155,3182,3253,3705,3086,2001,927,23168,89,8,25063,3520,7704,4185,3827,11160,10802,358,9.203327322,0,24502,5677,19859,10959,8102,2337,2786,673,1884
8263,922,938,912,1031,1142,1108,788,373,7762,42,6,8263,1336,2651,1156,1349,3222,3044,178,3.034237468,0,8188,2113,6461,3174,2255,829,964,241,672
18486,2090,2111,2045,2260,2654,2515,1737,809,17443,90,9,18486,2027,6090,3186,2477,8813,8434,379,6.788202085,0,18281,4794,14507,7444,5092,1734,2068,518,1444
11758,1136,1315,1158,1464,1815,1906,1218,566,11409,18,4,11758,1846,4014,1942,2286,4602,4385,217,4.317628482,0,11573,3398,9643,5104,3616,1344,1545,385,1106
54012,5429,6553,5688,6859,8129,7309,5142,2281,51549,311,31,54012,5827,14575,10925,7241,24009,23092,917,19.83362388,6,52887,13602,43394,23374,17054,4957,6128,1500,4118
17778,1536,1946,2079,2569,2471,2603,1930,877,17041,46,8,17778,2772,5687,3571,3308,7613,7350,263,6.528219013,0,17846,5169,14802,7798,5654,2036,2338,598,1692
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,170.8577172,254,452286,93686,367698,150074,110677,30479,42410,10606,26639
7411,580,1391,1149,1069,982,834,494,298,5087,15,2,7411,1498,2480,1092,1795,1804,1711,93,2.721376482,0,7588,1586,6361,3592,2614,762,985,232,611
25825,3025,3572,3395,3208,3533,2960,1893,836,16073,163,3,25825,4127,7989,4246,5907,9619,9065,554,9.483139611,0,26497,5499,19998,11972,8759,2480,3410,779,1954
43734,5881,5252,4947,5286,5900,5093,3610,1798,41765,259,10,43734,5045,12953,7286,7643,18309,17570,739,16.05946284,6,42591,9973,32802,17760,12793,4062,4742,1179,3330
12086,1346,1351,1315,1507,1594,1766,1111,588,11513,78,6,12086,1297,3488,2685,2074,5072,4847,225,4.438072617,0,11944,3517,9484,5181,3661,1224,1468,364,1013
34117,3864,3763,3891,4071,4978,4599,2962,1581,30553,169,53,34117,4008,9664,5617,4853,16408,15902,506,12.5280261,7,33543,8761,26577,12763,9382,3104,3815,965,2607
53054,5576,5320,5108,5906,7173,8503,6825,2952,50646,480,106,53054,5397,12763,9683,4754,22857,22078,779,19.48183887,5,51024,16724,42759,20851,13255,4697,6181,1541,4283
53285,5907,6431,5763,6663,7495,7085,4825,2433,49390,402,18,53285,5665,15867,9800,8307,22719,21791,928,19.56666386,4,52569,13164,41979,21555,14777,5010,6339,1536,4197
25832,2865,2949,2742,3272,3569,3390,2597,1149,23624,88,5,25832,3456,8023,4362,4408,8477,8020,457,9.485710065,0,25945,6985,20196,11414,7957,2734,3242,803,2254
24265,3407,3129,2888,3087,3308,2799,1724,805,23289,176,11,24265,3348,7306,3581,4309,10991,10638,353,8.910295553,0,23239,5106,18278,9528,6726,2284,2570,630,1750
97605,12083,13493,11316,11297,13078,12061,7150,3855,57591,1120,42,97605,7603,22363,18114,16631,48664,46832,1832,35.84131043,76,97887,21289,75733,39835,29612,7220,11365,2672,6579
28575,3189,3283,3137,3597,4087,4020,2654,1184,26635,177,8,28575,3842,8008,6088,4337,12265,11690,575,10.49296087,0,28355,7204,22562,11877,8619,2752,3293,814,2250
